"","array","month.day","temp.avg","hum.avg","dew.pt.avg","light.avg","light.min","light.max","temp.min","temp.max","temp.std","light.std","dew.pt.std","hum.std","hum.max","hum.min","dp.max","dp.min","daynum","grove"
"11","Cluster","01-11",13.9273333333333,83.2378472222222,9.88958333333333,16369.3659722222,0,159823.3,7.481,28.258,5.06443542502183,41237.3777032484,1.42380061390397,18.5395290530714,102.5,47.5,15.6,7.8,42,"OC"
"12","Cluster","01-12",12.6123993055556,96.890625,11.0559027777778,11733.3520833333,0,176356.7,7.582,25.708,4.30828556452619,31577.0548055275,1.99535171096356,6.20604535200556,102.5,70.5,16.1,7.8,43,"OC"
"13","Cluster","01-13",11.0108159722222,88.4756944444444,8.70798611111111,4464.98715277778,0,137778.7,5.86,17.284,3.11899238913901,10792.4984480854,1.20803297360281,10.7049159733696,102,67.5,13,6.3,44,"OC"
"14","Cluster","01-14",13.0736180555556,75.6197916666667,8.51180555555556,1921.62673611111,0,12400.1,10.846,16.046,1.44643248262091,3088.17857053291,1.31316021869726,11.4083405499129,94,57.5,11.4,5.8,45,"OC"
"15","Cluster","01-15",12.7761423611111,84.8038194444444,10.103125,2200.51804878049,0,15155.7,10.553,14.613,0.83454364662946,2695.84568549755,1.10989717246666,6.93226707682479,95.5,74,11.7,8.4,46,"OC"
"16","Cluster","01-16",14.3020833333333,88.2326388888889,12.2583333333333,NA,NA,NA,7.5,19,3.18052586430596,NA,1.93549280654338,9.77310773622435,101,67,15.4,7.5,47,"OC"
"17","Cluster","01-17",14.7247517482517,101.536713286713,14.5622377622378,2036.433,0,15155.7,12.594,17.855,1.11736174445852,3530.12692323555,1.10226587653298,1.025746643746,103,97.5,NA,NA,48,"OC"
"18","Cluster","01-18",15.6520451388889,87.4895833333333,11.2722222222222,21571.4229166667,0,165334.4,8.481,34.268,7.16744064906614,42033.2838716287,1.70710523546148,16.203084916194,103.5,57.5,17.3,8.2,49,"OC"
"19","Cluster","01-19",17.4170173611111,71.5364583333333,9.75833333333333,26418.7559027778,0,176356.7,7.882,36.62,9.41956055236642,52029.6013753559,1.7500622189039,20.8669559549908,100,33,13.4,6.6,50,"OC"
"20","Cluster","01-20",13.4339861111111,89.0729166666667,11.2420138888889,3933.55520833333,0,26178,9.077,20.71,2.98813844019743,6046.41032517567,2.16820678644726,5.99447153837519,99,78,14.9,7.2,51,"OC"
